id,name,director_actor,info,rating_score,rating_num,introduce,imgurl,recommend_score
82,七宗罪,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman布...,1995/美国/剧情犯罪悬疑惊悚,8.8,763779人评价,警察抓小偷，老鼠玩死猫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,0.80156
83,心灵捕手,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon罗宾·...,1997/美国/剧情,8.9,550641人评价,人生中应该拥有这样的一段豁然开朗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,0.83521
84,布达佩斯大饭店,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes...,2014/美国德国英国/剧情喜剧冒险,8.9,696240人评价,小清新的故事里注入了大历史的情怀。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,0.85561
85,春光乍泄,导演:王家卫KarWaiWong主演:张国荣LeslieCheung梁朝伟TonyLeu...,1997/中国香港日本韩国/剧情爱情同性,8.9,491317人评价,爱情纠缠，男女一致。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,0.75828
86,摩登时代,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...,1936/美国/剧情喜剧爱情,9.3,224696人评价,大时代中的人生，小人物的悲喜。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,0.87271
87,被嫌弃的松子的一生,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani瑛太E...,2006/日本/剧情歌舞,8.9,581067人评价,以戏谑来戏谑戏谑。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,0.83695
88,哈利·波特与死亡圣器(下),导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...,2011/美国英国/奇幻冒险,8.9,606376人评价,10年的完美句点。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,0.85896
89,阿凡达,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...,2009/美国英国/动作科幻冒险,8.7,1031454人评价,绝对意义上的美轮美奂。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,0.78639
90,喜剧之王,导演:周星驰StephenChow李力持Lik-ChiLee主演:周星驰StephenCh...,1999/中国香港/喜剧剧情爱情,8.8,747454人评价,我是一个演员。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,0.88441
91,致命ID,导演:詹姆斯·曼高德JamesMangold主演:约翰·库萨克JohnCusack雷...,2003/美国/剧情悬疑惊悚,8.8,625844人评价,最不可能的那个人永远是最可能的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,0.75246
